
Rewrite b9b2106e7059ce672b18834340f354a18acd15c4 (1/578) (0 seconds passed, remaining 0 predicted)    
Rewrite af0701ad89b169b7e2bb5629f6e210646a31a337 (237/578) (15 seconds passed, remaining 21 predicted)    
Rewrite 8a1127a12dcd893cf69c33c054c689b7d57d9e3f (237/578) (15 seconds passed, remaining 21 predicted)    
Rewrite 161dddf24a5c549e12d7059f9e89cee10a9ac524 (237/578) (15 seconds passed, remaining 21 predicted)    
Rewrite 6c348f4deb8912eb1cb032ea568a475584f9b7e8 (237/578) (15 seconds passed, remaining 21 predicted)    
Rewrite 4db2b2cd6bb2c5e725085830994e4a1e912e922b (237/578) (15 seconds passed, remaining 21 predicted)    
Rewrite a13f71e497576487e65ef55725489b26469ec108 (237/578) (15 seconds passed, remaining 21 predicted)    
Rewrite f2d4756717242c9d7e839efdb742f228bcc0a5c1 (237/578) (15 seconds passed, remaining 21 predicted)    
Rewrite eddcb45f4fe4f3a11108014b145dcd2aad863c09 (237/578) (15 seconds passed, remaining 21 predicted)    
Rewrite 54cf83a43c38a6c7089517a69e27d3293b580722 (237/578) (15 seconds passed, remaining 21 predicted)    
Rewrite 1f57a06ae7627e439170c213f1853039201b723e (237/578) (15 seconds passed, remaining 21 predicted)    
Rewrite 33e11798cdc139880100f4cf69f526d520b37d6f (237/578) (15 seconds passed, remaining 21 predicted)    
Rewrite 6cc7720d9f3ee8fb27a5b95b068de515f3bf232b (237/578) (15 seconds passed, remaining 21 predicted)    
Rewrite 79d24d9757ccb4ee3cd10754d92a063c502392fe (253/578) (17 seconds passed, remaining 21 predicted)    
Rewrite d0ba5164a7488c57f661470977acc973e06805cf (253/578) (17 seconds passed, remaining 21 predicted)    
Rewrite 079b17e8db919b9d3737d7575b8ee076b9ebaee1 (253/578) (17 seconds passed, remaining 21 predicted)    
Rewrite 47d5fbfd223b314a0ddde85269faab2ea15857f0 (253/578) (17 seconds passed, remaining 21 predicted)    
Rewrite 65f26e9d2da0527e3399744bde7bbe8ae2ad3d11 (253/578) (17 seconds passed, remaining 21 predicted)    
Rewrite 2e40498988444814c702d82b6b2ed7a30d35eef7 (253/578) (17 seconds passed, remaining 21 predicted)    
Rewrite af0c9f98a66f82bf58bbbb423ee595b3e6083726 (253/578) (17 seconds passed, remaining 21 predicted)    
Rewrite faa7b92c1852b66862fb199bd1de7d061398498f (253/578) (17 seconds passed, remaining 21 predicted)    
Rewrite 4c91ab32141b2590b3e85ba251e8f099ee4a797f (253/578) (17 seconds passed, remaining 21 predicted)    
Rewrite bf820cd7661f5b269b06654a56eceb030d89ca0f (253/578) (17 seconds passed, remaining 21 predicted)    
Rewrite 3e482623bb24fc539ff3dc59b4666f81d95fa54c (253/578) (17 seconds passed, remaining 21 predicted)    
Rewrite a762fa239ca230529cddd9f46f49ed09d0f8be00 (253/578) (17 seconds passed, remaining 21 predicted)    
Rewrite f47b8be87c32bbb2e152f52fc480af39af41ac2e (253/578) (17 seconds passed, remaining 21 predicted)    
Rewrite a1223886753b5ddfe66e6987054f6f303cbb5823 (253/578) (17 seconds passed, remaining 21 predicted)    
Rewrite 509467d2642b5e09295a0e6cc9a7d52c3eb916a6 (253/578) (17 seconds passed, remaining 21 predicted)    
Rewrite 2c77e1056100d285e34d5ef6dce7d894b28d4096 (268/578) (18 seconds passed, remaining 20 predicted)    
Rewrite 88ea539834583cbc22cf7e93a6053dc1ad2f3ba9 (268/578) (18 seconds passed, remaining 20 predicted)    
Rewrite 286ea1304407651f4a6d81568e160194df5cf2e1 (268/578) (18 seconds passed, remaining 20 predicted)    
Rewrite 561e664461d39ad4a3e0bb7eac14e9f1659e4dc4 (268/578) (18 seconds passed, remaining 20 predicted)    
Rewrite ed9a5a8751888c0336ad289a67e24e9b38a333a0 (268/578) (18 seconds passed, remaining 20 predicted)    
Rewrite 5d5af620fecacc83fd9bff615eca6f26c1d9d2d4 (268/578) (18 seconds passed, remaining 20 predicted)    
Rewrite af268030d5ba3b4d879f5d85660727a36f49f6d2 (268/578) (18 seconds passed, remaining 20 predicted)    
Rewrite 694cfc3624a3af6fb4da9706b3a091d7034e2800 (268/578) (18 seconds passed, remaining 20 predicted)    
Rewrite 64533ae3f4fb749290c00e926c4979ffd705799e (268/578) (18 seconds passed, remaining 20 predicted)    
Rewrite e6d616f40e7f1024430432d8a6fe8fa7ce246eaa (268/578) (18 seconds passed, remaining 20 predicted)    
Rewrite 0f89c5e01366d54637c0f40a7e06ea6282218c4e (268/578) (18 seconds passed, remaining 20 predicted)    
Rewrite c5f96359c4eb04cc54b49475ef05fc2fc3ae971b (268/578) (18 seconds passed, remaining 20 predicted)    
Rewrite da208e27b50160d3465d41af625db20d838989da (268/578) (18 seconds passed, remaining 20 predicted)    
Rewrite a759539b2524e243be15e8c144b5b2002efc2214 (268/578) (18 seconds passed, remaining 20 predicted)    
Rewrite 2157b3856e38d265f03742d25fd54710c7c1fc03 (268/578) (18 seconds passed, remaining 20 predicted)    
Rewrite 23de6615b8f92263ab62b71fdcae3ce952305945 (283/578) (18 seconds passed, remaining 18 predicted)    
Rewrite 3d6c93ebd7b6772573c8a104f6832499c5061157 (283/578) (18 seconds passed, remaining 18 predicted)    
Rewrite afc339996c575aed4e70425aaa270b950f4ca88f (283/578) (18 seconds passed, remaining 18 predicted)    
Rewrite aef839d78491eea98507b0ed6209eb06cc817f68 (283/578) (18 seconds passed, remaining 18 predicted)    
Rewrite ec05c382b583643f2a0b25658a36644493370668 (283/578) (18 seconds passed, remaining 18 predicted)    
Rewrite 7e6c499aadacefb82c08c4291c298517f58c8630 (283/578) (18 seconds passed, remaining 18 predicted)    
Rewrite 46bb08468e279d214ffae15ea7d4d46b7ff9a08a (283/578) (18 seconds passed, remaining 18 predicted)    
Rewrite b77029ce42fc5433c7c562f732948f4acbad8302 (283/578) (18 seconds passed, remaining 18 predicted)    
Rewrite 7639b5b7c7074c0a4b69a9de6dd4df81430a33d4 (283/578) (18 seconds passed, remaining 18 predicted)    
Rewrite 972ceff7e9d7f236b5a92a2569b6c8979ec06a1b (283/578) (18 seconds passed, remaining 18 predicted)    
Rewrite 9d6c1e4619fa9bcb498d738bb19ebcbd1423f112 (283/578) (18 seconds passed, remaining 18 predicted)    
Rewrite 4289a9339a806d134c520b5f62db41a92d1ddfc5 (283/578) (18 seconds passed, remaining 18 predicted)    
Rewrite f8e14ff9c97a9a9ba7e5cfa2b59e416c89537e4d (283/578) (18 seconds passed, remaining 18 predicted)    
Rewrite d2afa97e39d9028a85690f1808a9dab0e7b31553 (283/578) (18 seconds passed, remaining 18 predicted)    
Rewrite 48a4f2db167188ace548dbc345962b3664342cb9 (283/578) (18 seconds passed, remaining 18 predicted)    
Rewrite 297e0549b91a06fa90a8aea44c9ed975e47e33ad (283/578) (18 seconds passed, remaining 18 predicted)    
Rewrite 9c910fc5d341b204e27471cfc43d971ac62a9608 (299/578) (20 seconds passed, remaining 18 predicted)    
Rewrite 093b2245d9c523383e626308c6b04d853f35af31 (299/578) (20 seconds passed, remaining 18 predicted)    
Rewrite 9fd42a12106a1c10ccc1571b34335d95c2913321 (299/578) (20 seconds passed, remaining 18 predicted)    
Rewrite ff74a21da9788c2e699115feea71b37e3d4e6c06 (299/578) (20 seconds passed, remaining 18 predicted)    
Rewrite 9b88a542cd1820717f7161bd1eb46d1e01361f2d (299/578) (20 seconds passed, remaining 18 predicted)    
Rewrite 2414a89984c33999647b3dc6906862dec0ceaf33 (299/578) (20 seconds passed, remaining 18 predicted)    
Rewrite 079d2054acd5a49ca06e865b1bdc527b4c097cec (299/578) (20 seconds passed, remaining 18 predicted)    
Rewrite 039aac9bbbdc45a604b75e93a2368d88ca9f24db (299/578) (20 seconds passed, remaining 18 predicted)    
Rewrite 47db4f236411b648312be5787b5e7c5a1f9dd6fd (299/578) (20 seconds passed, remaining 18 predicted)    
Rewrite adc8738413dd62b40d2b81a6d543023eca3227b0 (299/578) (20 seconds passed, remaining 18 predicted)    
Rewrite faf0e2a0ddf3f09f22c1f95187eac3247a60ecb4 (299/578) (20 seconds passed, remaining 18 predicted)    
Rewrite 5e6793a65b5bcb7d52f7c61fb3d540bc05729318 (299/578) (20 seconds passed, remaining 18 predicted)    
Rewrite cf9a704e3e8064d0b88c1413a147436643e717fc (299/578) (20 seconds passed, remaining 18 predicted)    
Rewrite 76ad5553846ef54000782d0f6e4e542239f82a0a (299/578) (20 seconds passed, remaining 18 predicted)    
Rewrite 1f84f3a447fb8bea07b568fef8910d0ece9c2595 (299/578) (20 seconds passed, remaining 18 predicted)    
Rewrite 801b508e843583274ecce748b861954d48f3550c (314/578) (21 seconds passed, remaining 17 predicted)    
Rewrite dcb756cd284002bc4865b429d61f3675675fbac4 (314/578) (21 seconds passed, remaining 17 predicted)    
Rewrite 09223e4b60e5b3992cd3217866b36a477566a5d0 (314/578) (21 seconds passed, remaining 17 predicted)    
Rewrite 45826f8dfd0a6709ceb4215313a31d5c4e9ec265 (314/578) (21 seconds passed, remaining 17 predicted)    
Rewrite b7c043d8c10d73af2db86a76e8e3396843294303 (314/578) (21 seconds passed, remaining 17 predicted)    
Rewrite dc592a46231f076729cc0e997dac312b2ab54374 (314/578) (21 seconds passed, remaining 17 predicted)    
Rewrite 53b1fe1c1ac50e7361456ff376b15059ddda999a (314/578) (21 seconds passed, remaining 17 predicted)    
Rewrite 2a3be00f76135423b617144f792cd52645d0b010 (314/578) (21 seconds passed, remaining 17 predicted)    
Rewrite 21a2554f76a832ea046d54f203ee82eefc0b434a (314/578) (21 seconds passed, remaining 17 predicted)    
Rewrite 6359ecac42ef0e625a365c82da934d6221b1b3ab (314/578) (21 seconds passed, remaining 17 predicted)    
Rewrite 98ff0eaae8332ac91cc3a68dd6cacedca5ee570f (314/578) (21 seconds passed, remaining 17 predicted)    
Rewrite 9a8b1adbd74337e190fb4a9db3e0761b3a9c2098 (314/578) (21 seconds passed, remaining 17 predicted)    
Rewrite b815a76a3151adaa839e485f51138fa95a8aa08a (314/578) (21 seconds passed, remaining 17 predicted)    
Rewrite d63400d1e5bfe98f1063103e9e303e43a282cc79 (314/578) (21 seconds passed, remaining 17 predicted)    
Rewrite 75975286bc2b6ed41244d4f6b325ba9ba8e13a07 (314/578) (21 seconds passed, remaining 17 predicted)    
Rewrite bb0fcfb76224626de272e2e7be9c8cda60a4d9a0 (329/578) (22 seconds passed, remaining 16 predicted)    
Rewrite 4f00304dcb2a3dffd2ac390a13d4e98ae44eaaa3 (329/578) (22 seconds passed, remaining 16 predicted)    
Rewrite ed22d82f541a2141a77f67c1435eb1c6dba63b8f (329/578) (22 seconds passed, remaining 16 predicted)    
Rewrite 7aea9aaefd4f3684d5aa61b3bd1f713a6c2b1d67 (329/578) (22 seconds passed, remaining 16 predicted)    
Rewrite 0aba9555106b45b971eea6e8583aa564d16ac688 (329/578) (22 seconds passed, remaining 16 predicted)    
Rewrite ba55874fa1cbc2fc3824c7e06ac83d01498b217a (329/578) (22 seconds passed, remaining 16 predicted)    
Rewrite 546ff97d34caaaa479210519ef43aa4363febd71 (329/578) (22 seconds passed, remaining 16 predicted)    
Rewrite 557306244120c224df974cb7bc1a5fd7872a35bf (329/578) (22 seconds passed, remaining 16 predicted)    
Rewrite ff23d88fa3e29eb40ea689abd14b0edc6b6543d1 (329/578) (22 seconds passed, remaining 16 predicted)    
Rewrite 9262a6db226df7cfafbe9a9cbd2fecb1281348fc (329/578) (22 seconds passed, remaining 16 predicted)    
Rewrite 9e5ffdfa7018fa22893cc3882fb4f7c3bbf9d51b (329/578) (22 seconds passed, remaining 16 predicted)    
Rewrite 66f055e0b607870285cad51123af6fc6ae4f0be9 (329/578) (22 seconds passed, remaining 16 predicted)    
Rewrite 4eb10d822013ac4b9f45791873dcf87d41e07fc2 (329/578) (22 seconds passed, remaining 16 predicted)    
Rewrite d353775a177c0bec465d5c2250a72a26218c5dfe (329/578) (22 seconds passed, remaining 16 predicted)    
Rewrite 3f46cd13088764dccf37c9523a3d8c4feaacf27c (329/578) (22 seconds passed, remaining 16 predicted)    
Rewrite ddfed7115edd49921c233c3aed0f69e49c7fca82 (344/578) (23 seconds passed, remaining 15 predicted)    
Rewrite 9314302a7cb3b4efe6d6251fef16b6a193c8249a (344/578) (23 seconds passed, remaining 15 predicted)    
Rewrite b972f85314744d720be8c9260a7ea2f75dacbb8f (344/578) (23 seconds passed, remaining 15 predicted)    
Rewrite 4d0ced93a8a8367091f03750b906605527dd9a5c (344/578) (23 seconds passed, remaining 15 predicted)    
Rewrite b4f54d084ef4761d28285ba9743bd03da65d9856 (344/578) (23 seconds passed, remaining 15 predicted)    
Rewrite 2b14b4f9b6b9e90d90baa17ec98ab91d1f6e73c9 (344/578) (23 seconds passed, remaining 15 predicted)    
Rewrite 05f59cb5f6b415e9940e519c7166f507404a98f7 (344/578) (23 seconds passed, remaining 15 predicted)    
Rewrite fade864b89723eaaea28762041af554b090612ff (344/578) (23 seconds passed, remaining 15 predicted)    
Rewrite 18a87ced401e12371c652b0f501d2180c285320c (344/578) (23 seconds passed, remaining 15 predicted)    
Rewrite 05e36cfcd2f9a418d987eba287a25613dde2d026 (344/578) (23 seconds passed, remaining 15 predicted)    
Rewrite db1b1f5f5595164d589eb48d2af4c366688fa212 (344/578) (23 seconds passed, remaining 15 predicted)    
Rewrite 925a8edfbbbfe9ba72b57d4a5f9e2160d4641cec (344/578) (23 seconds passed, remaining 15 predicted)    
Rewrite 9b5edbdc1a0e61fb5fcecaf3610a4d41b5b791c9 (344/578) (23 seconds passed, remaining 15 predicted)    
Rewrite f0fcf94fb8bf50611f2a61f08be77ca480fa35bc (344/578) (23 seconds passed, remaining 15 predicted)    
Rewrite 1926592e24db25450ce327a5e42b027c0cf8ef28 (344/578) (23 seconds passed, remaining 15 predicted)    
Rewrite a28b17ec3ae03da1657148d6f998912226f56d36 (359/578) (24 seconds passed, remaining 14 predicted)    
Rewrite b8fbc5a4785a1d772605972f5b358d678e63dd9f (359/578) (24 seconds passed, remaining 14 predicted)    
Rewrite 2bfd0a55e4abc7dd00fe9c75cf643fb9ca39d758 (359/578) (24 seconds passed, remaining 14 predicted)    
Rewrite 926679ca9ef329e3d8c3f9cc3760366740032fed (359/578) (24 seconds passed, remaining 14 predicted)    
Rewrite 18c48b99b4b559362a88a25495fc96d6f62eae91 (359/578) (24 seconds passed, remaining 14 predicted)    
Rewrite c24f58de5903fb542007452205c47981229a1e36 (359/578) (24 seconds passed, remaining 14 predicted)    
Rewrite b53c9b2d7e5753fff3d9105d0c1ddcceb12d842d (359/578) (24 seconds passed, remaining 14 predicted)    
Rewrite 12706906416952cea78e0894e97329f9f2cb3da0 (359/578) (24 seconds passed, remaining 14 predicted)    
Rewrite 287a7b34a9b826da74715381db2bedbcde4d8c62 (359/578) (24 seconds passed, remaining 14 predicted)    
Rewrite ef01bcc32ca11b0dec37fee462cfad7db98fc540 (359/578) (24 seconds passed, remaining 14 predicted)    
Rewrite e792c2900bcc3479ef832e52c26195088ae0f431 (359/578) (24 seconds passed, remaining 14 predicted)    
Rewrite 9d039c4d4dc4684d959ab9c44ddc5deea7cfa95e (359/578) (24 seconds passed, remaining 14 predicted)    
Rewrite 21592fcbd44d7bda2f58528019920d2188eaf239 (359/578) (24 seconds passed, remaining 14 predicted)    
Rewrite 6e7a1b03aeecb6918e258c342c13589bde20c90f (359/578) (24 seconds passed, remaining 14 predicted)    
Rewrite 280d89e9f11824aa5a15efb98e763fd451456081 (359/578) (24 seconds passed, remaining 14 predicted)    
Rewrite 8eabdbf07c88b9e4a3cc477863a366b01a541ca8 (374/578) (25 seconds passed, remaining 13 predicted)    
Rewrite 62b5e0bb2b587d7d56a27d30996d1314fe105320 (374/578) (25 seconds passed, remaining 13 predicted)    
Rewrite ed3f9052751180ac54e658a6f5ca5708a30b8293 (374/578) (25 seconds passed, remaining 13 predicted)    
Rewrite 4371f1840feab6340a7391e10095c548616e9499 (374/578) (25 seconds passed, remaining 13 predicted)    
Rewrite 4403e12cf370d4650a98ac830484c05705fa7e23 (374/578) (25 seconds passed, remaining 13 predicted)    
Rewrite 9584aa5eeb6aa6dbb69cf49df387e8155543a8a3 (374/578) (25 seconds passed, remaining 13 predicted)    
Rewrite b6143e54947bb7e5b692396cc4b52ebe9a0d1176 (374/578) (25 seconds passed, remaining 13 predicted)    
Rewrite af841645bf6d382d50c5c167cd159a9ed673443d (374/578) (25 seconds passed, remaining 13 predicted)    
Rewrite bf96f38ac0d69696a1111ec95f7442befe88547c (374/578) (25 seconds passed, remaining 13 predicted)    
Rewrite a5970dec59e3b1609021b7a67237f579a8e270cd (374/578) (25 seconds passed, remaining 13 predicted)    
Rewrite b5fd2b4b7da1d908ac4b4a3ec4a72953fccbdd6f (374/578) (25 seconds passed, remaining 13 predicted)    
Rewrite 82cca0f24ea8f9212f0ea205968ac021eaadc404 (374/578) (25 seconds passed, remaining 13 predicted)    
Rewrite 2bbe597a213bc1ab602946092d3edb4a2e1c90b8 (374/578) (25 seconds passed, remaining 13 predicted)    
Rewrite 89b7ef6229ebcfb2c3682199b144ca209249b231 (374/578) (25 seconds passed, remaining 13 predicted)    
Rewrite 97e0e6c1672169809e218bd690989b592b643c16 (374/578) (25 seconds passed, remaining 13 predicted)    
Rewrite 7c00ed873f9d085cc61c909e660fe73e46e0fa9f (389/578) (26 seconds passed, remaining 12 predicted)    
Rewrite 80cfec011cb9d4e0d656c81df9dd0df66459c424 (389/578) (26 seconds passed, remaining 12 predicted)    
Rewrite 881ee9122106a86029436bbd6e18ed9bdc43bcf4 (389/578) (26 seconds passed, remaining 12 predicted)    
Rewrite 2cd5c24cfe19f10cb9fe8ad9d75a8ea9f2236d60 (389/578) (26 seconds passed, remaining 12 predicted)    
Rewrite a7b36eae237c44b457f964f727ecafcf4b93655c (389/578) (26 seconds passed, remaining 12 predicted)    
Rewrite 7150369d296568ea590e40a05fc7d7dd79504ac9 (389/578) (26 seconds passed, remaining 12 predicted)    
Rewrite c4c7768193ba331406a55cd9c5296c4a7378d578 (389/578) (26 seconds passed, remaining 12 predicted)    
Rewrite a89a34d139ddf1438dd80578e8735c0d01361ee2 (389/578) (26 seconds passed, remaining 12 predicted)    
Rewrite f80dc46f1c66cccb07563112c4c0d2ee977b53e5 (389/578) (26 seconds passed, remaining 12 predicted)    
Rewrite b4be45873ab7923683a467d221430c06b7ce8e5c (389/578) (26 seconds passed, remaining 12 predicted)    
Rewrite 38f6e246900303b890df2a874977a64b694c0756 (389/578) (26 seconds passed, remaining 12 predicted)    
Rewrite adc90ef85598647a367528b8372137b78d82b486 (389/578) (26 seconds passed, remaining 12 predicted)    
Rewrite 0f8529e425222be880324202cceeef62dd318231 (389/578) (26 seconds passed, remaining 12 predicted)    
Rewrite 7dbfa1d1014795868b802079f85c4f63eab4e770 (389/578) (26 seconds passed, remaining 12 predicted)    
Rewrite 28330c7e3f42b1afe4b2f8773107cde02b04c6cf (389/578) (26 seconds passed, remaining 12 predicted)    
Rewrite 76cbc3dd31880e88d2dd6cc74f95f3938f4cf72e (404/578) (27 seconds passed, remaining 11 predicted)    
Rewrite 356b04974e4ce1f9d42e92a5ad42a903ea85b8a8 (404/578) (27 seconds passed, remaining 11 predicted)    
Rewrite d18dbbe96a3b0cd0f3e6e2c34bdbbff679c9f148 (404/578) (27 seconds passed, remaining 11 predicted)    
Rewrite b3f27411ba71f57fdc0131479598db75fbeb1b6d (404/578) (27 seconds passed, remaining 11 predicted)    
Rewrite 041aa95dc99e75fc2c95a3f84940ca791aca84ca (404/578) (27 seconds passed, remaining 11 predicted)    
Rewrite e445578c7a3fa3a520feba51d44137fd1492e35b (404/578) (27 seconds passed, remaining 11 predicted)    
Rewrite abbaaf0b750f1e641f34b34a2e6860c2f87d7ecd (404/578) (27 seconds passed, remaining 11 predicted)    
Rewrite 8046d166eee49da6ceefaf58e073f8f0cd9971a6 (404/578) (27 seconds passed, remaining 11 predicted)    
Rewrite 8452bfef0b18b901703610ec6715987cc90101a2 (404/578) (27 seconds passed, remaining 11 predicted)    
Rewrite 09d12c93e072be17c0f896c23982f547a04daf53 (404/578) (27 seconds passed, remaining 11 predicted)    
Rewrite 8058575bca978e82dd7d886e6d55cb69bf7c92cb (404/578) (27 seconds passed, remaining 11 predicted)    
Rewrite 5147ba401c993ff025bc46ea1d9f0b54ec97a517 (404/578) (27 seconds passed, remaining 11 predicted)    
Rewrite 0bf9a058bf38e048a4bdd178d6a68c292981b38f (404/578) (27 seconds passed, remaining 11 predicted)    
Rewrite 32da76c9522c9d0558e5cb7903045111aa61b199 (404/578) (27 seconds passed, remaining 11 predicted)    
Rewrite 11e8452f9c55ca2fc07e80cfa048d313ddb36ef2 (404/578) (27 seconds passed, remaining 11 predicted)    
Rewrite f71228008e066f2c3ddf80dec9a66b58556b7992 (419/578) (28 seconds passed, remaining 10 predicted)    
Rewrite 77131b07c09ef8b4da0810287a36dd3ca396292c (419/578) (28 seconds passed, remaining 10 predicted)    
Rewrite 70b7221aba3959f1ddffb8733852d19210e381e5 (419/578) (28 seconds passed, remaining 10 predicted)    
Rewrite 79d8059fb9dce60b0be313c3de1d5028e2fd05a4 (419/578) (28 seconds passed, remaining 10 predicted)    
Rewrite 4e20653bf03768d410f9ab87962ca9e41dff05a2 (419/578) (28 seconds passed, remaining 10 predicted)    
Rewrite f1c85ad0a1ac1f209bd967c98a79673ae8bef497 (419/578) (28 seconds passed, remaining 10 predicted)    
Rewrite 3cc1fd7838f6c5fd1add125cd87aa173dce4c4d5 (419/578) (28 seconds passed, remaining 10 predicted)    
Rewrite 0a1a066e0219fe4f95f243f827ee132c319b0dbf (419/578) (28 seconds passed, remaining 10 predicted)    
Rewrite db24acc1d0b7c6b79de8c775a4dc5978eb14fce1 (419/578) (28 seconds passed, remaining 10 predicted)    
Rewrite d0c7f6f7fd38a64d6fbe6a87a02dd9f1e4a429b3 (419/578) (28 seconds passed, remaining 10 predicted)    
Rewrite 48edfab907cc80d8ab13ce51357acca5061e03f4 (419/578) (28 seconds passed, remaining 10 predicted)    
Rewrite c8aa190a9a9ebefe7ffc159679808c378aa5a7a8 (419/578) (28 seconds passed, remaining 10 predicted)    
Rewrite c7f89963386e2cc82213dc1ff3481e6dceb0c8a8 (419/578) (28 seconds passed, remaining 10 predicted)    
Rewrite 076c2d53c8a6736c72453875ce0e8e58417dbecd (419/578) (28 seconds passed, remaining 10 predicted)    
Rewrite 3cfad2ccc3f6dba5a802d77ef72bc11e82a1e4e6 (419/578) (28 seconds passed, remaining 10 predicted)    
Rewrite 674254838ac4d7cc17be9b8ecc767e8e5daad95f (434/578) (29 seconds passed, remaining 9 predicted)    
Rewrite d8400e5e611971c946ea6b7faf7f02bd61026c68 (434/578) (29 seconds passed, remaining 9 predicted)    
Rewrite ffb15aed3e6d7ff8557520ff8f646b0447bab73f (434/578) (29 seconds passed, remaining 9 predicted)    
Rewrite 95223db46f3605b97d30644aca071f18a7643501 (434/578) (29 seconds passed, remaining 9 predicted)    
Rewrite c3e96103a13e63003769d053fa67152f2b49b409 (434/578) (29 seconds passed, remaining 9 predicted)    
Rewrite fbaf8581d39515d66e46a3db87c8b6cffd5729f7 (434/578) (29 seconds passed, remaining 9 predicted)    
Rewrite d2b51389e730b6b704b8d129b0ee27c4b65fef17 (434/578) (29 seconds passed, remaining 9 predicted)    
Rewrite eb33606f9e0fe551512237e150d5cfe1fc1274c6 (434/578) (29 seconds passed, remaining 9 predicted)    
Rewrite 792187aadc8bc546bcd7eabfde6bef951f6cdb94 (434/578) (29 seconds passed, remaining 9 predicted)    
Rewrite 0950d5eea8410795e8a7507fc5fe39bc822f21b6 (434/578) (29 seconds passed, remaining 9 predicted)    
Rewrite 70604578f02d3d096fc8ee792943a63290433263 (434/578) (29 seconds passed, remaining 9 predicted)    
Rewrite c35daeac1761c17baab43c82b5ad296177fdf45a (434/578) (29 seconds passed, remaining 9 predicted)    
Rewrite e54afd3c0567108f6b5bd9bbe962f8df6e79de41 (434/578) (29 seconds passed, remaining 9 predicted)    
Rewrite 8d8834ab17bba82c87d5c6246997e31cb13bd4f3 (434/578) (29 seconds passed, remaining 9 predicted)    
Rewrite 43dbb4296fc4581c0b8c5106952062e7320c9657 (434/578) (29 seconds passed, remaining 9 predicted)    
Rewrite e62846423970d261a267f2bd78adc5174d1bcd4d (449/578) (30 seconds passed, remaining 8 predicted)    
Rewrite 7fbafef0c01d89ca4ad5d6d7000d074f4742e982 (449/578) (30 seconds passed, remaining 8 predicted)    
Rewrite 32217e787e3a1758488a60bfc61be991b8a16d77 (449/578) (30 seconds passed, remaining 8 predicted)    
Rewrite 9823893e312796dfa892a3b732bdae2607746cc8 (449/578) (30 seconds passed, remaining 8 predicted)    
Rewrite e02f162df9dbae0de6de26ab0ddbdd68b664867d (449/578) (30 seconds passed, remaining 8 predicted)    
Rewrite 092a81b676f0d02efa6e5202bcb16ea21ea8f6bc (449/578) (30 seconds passed, remaining 8 predicted)    
Rewrite 57688b17306ef64634bed52142f35ee6dff94fe5 (449/578) (30 seconds passed, remaining 8 predicted)    
Rewrite 73ac7efc84c0c7e94b64a38430a56e6565a6e1d8 (449/578) (30 seconds passed, remaining 8 predicted)    
Rewrite 30f06448a5802c3ffc5785496717b4dd91493769 (449/578) (30 seconds passed, remaining 8 predicted)    
Rewrite a7162aef760182f8a2ea83e8c42bd947c76d2e8c (449/578) (30 seconds passed, remaining 8 predicted)    
Rewrite babccfad69ed884ee1bb60da98bd15f303206323 (449/578) (30 seconds passed, remaining 8 predicted)    
Rewrite a65cf866ab92cbd3bf534ff035ed422132ed1fc7 (449/578) (30 seconds passed, remaining 8 predicted)    
Rewrite aa525b9fe3aa8e577832566271b1569c582ed4c6 (449/578) (30 seconds passed, remaining 8 predicted)    
Rewrite 0ff66966ae42cba0a0d8333a70989d8e97aa4d10 (449/578) (30 seconds passed, remaining 8 predicted)    
Rewrite 520d5e60517f0633a68e3245b0e40612a7eb8c78 (449/578) (30 seconds passed, remaining 8 predicted)    
Rewrite 35bf5c3614e5eb3b801c21673cc2f6ed0e137981 (464/578) (32 seconds passed, remaining 7 predicted)    
Rewrite 8ffc9e85451c564c1b9ada454c0eadf9229c9a30 (464/578) (32 seconds passed, remaining 7 predicted)    
Rewrite c97d122fe986369bc0033e3919af121260deec89 (464/578) (32 seconds passed, remaining 7 predicted)    
Rewrite b1cffa2241eaeb496d076eb5cf0cc7aed8f8aca0 (464/578) (32 seconds passed, remaining 7 predicted)    
Rewrite 1510943233d0348c663206bcf3927ebab3e1b6bc (464/578) (32 seconds passed, remaining 7 predicted)    
Rewrite 1cdc441a6708e3a7fc5eff81f228a0f83abbd368 (464/578) (32 seconds passed, remaining 7 predicted)    
Rewrite 72a94612dc21f350cb8a9c2b63ff61fb0e0bb49d (464/578) (32 seconds passed, remaining 7 predicted)    
Rewrite d06ada28186e6c6812b8c17b1013821d1d8e66f4 (464/578) (32 seconds passed, remaining 7 predicted)    
Rewrite bf3516e7b194a4bb6cdc27a7e57941acac9367f1 (464/578) (32 seconds passed, remaining 7 predicted)    
Rewrite e111e17559b88e81d27726f30bd1f13d07a28d1a (464/578) (32 seconds passed, remaining 7 predicted)    
Rewrite 8edb2a9a05c6fc5838b1c408dc69a835bffa3bb0 (464/578) (32 seconds passed, remaining 7 predicted)    
Rewrite 7432e4f401010fc48860c2dcb132aa10e3980641 (464/578) (32 seconds passed, remaining 7 predicted)    
Rewrite fcbbc4cf248299650dbdabc26d86f00a2b9bab09 (464/578) (32 seconds passed, remaining 7 predicted)    
Rewrite e939fde598c06388e81fa55e52007ab913abbf73 (464/578) (32 seconds passed, remaining 7 predicted)    
Rewrite 7337f7dc8887013810b9f693ee7cd663b940cb22 (464/578) (32 seconds passed, remaining 7 predicted)    
